"X.2","X.1","X","sect_triris","district","morph","colour","colour_simplif","extleft_fing","medleft_fing","intleft_fing","backleft_fing","extright_fing","medright_fing","intright_fing","backright_fing","left_tot","right_tot","total","mutilation","age","weather","nbindiv_checked","nbindiv_mutil","abund_sect","area","area_km","greenspace_area","greenspace_dens","dovecote","noise_pollut","humpop_2015","nb_passers","bakeries","fabric_manuf","haircut","nb_closedmarkets","nb_openmarkets","nb_biomarkets","nb_foodmarkets","openmarkets","foodmarkets","hrs_closedmarkets","hrs_openmarkets","hrs_biomarkets","tot_openhours","airqual_pca1","recyclwaste","nonrecyclwaste","waste","humpop_dens","human_flow","openmarkets_dens","foodmarkets_dens","hrsarea_openmarkets","hrsarea_totopenhrs","bakeries_dens","fabricmanuf_dens","hairdres_dens","waste_dens","prop_mutil","ID"
41,41,41,4,2,1,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,41
42,42,42,4,2,2,"B","B",0,0,0,0,0,0,1,0,0,1,1,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,42
43,43,43,4,2,3,"Bp","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,43
44,44,44,4,2,4,"Bbr","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,44
45,45,45,4,2,1,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,45
46,46,46,4,2,4,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,46
47,47,47,4,2,2,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,47
48,48,48,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,48
49,49,49,4,2,2,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,49
50,50,50,4,2,4,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,50
51,51,51,4,2,4,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,51
52,52,52,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,52
53,53,53,4,2,3,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,53
54,54,54,4,2,1,"B","B",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,54
55,55,55,4,2,1,"B","B",0,0,0,0,0,0,1,1,0,2,2,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,55
56,56,56,4,2,1,"B","B",0,0,0,0,0,0,1,0,0,1,1,1,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,56
57,57,57,4,2,0,"R","R",0,0,0,0,0,0,0,0,0,0,0,0,"A","couvert",47,8,15.8333333333333,23.41,0.23,0,0,0,7,5598,6856926,5,71,12,0,0,0,0,0,0,0,0,0,0,0.656979236573041,1592.5,20967,22559.5,239.12857753097,292905.852199915,0,0,0,0,0.213583938487826,3.03289192652713,0.512601452370782,963.669372063221,0.170212765957447,57
